PDB_ID,UniProt_ID,Protein_Class_Uniprot
2fsh,P10408,Translocase
2ft0,Q8FBQ3,Acyltransferase
2fue,Q92871,Isomerase
2fut,C6XZB6,Lyase
2fv1,Q9RC92,Glycosidase
2fvk,Q9P903,Hydrolase
2fwp,Q2QJL3,Isomerase
2fwt,Q3J4W3,UNKNOWN
2fxd,Q90HG9,Aspartyl protease
2fxe,P05959,Aspartyl protease
2fyf,P9WQ73,Aminotransferase
2fzs,P0A6G7,Hydrolase
2fzw,P11766,Oxidoreductase
2g1p,P0AEE8,DNA-binding
2g3f,P42084,Hydrolase
2g5c,O67636,Oxidoreductase
2g5r,Q9Y286,UNKNOWN
2g72,P11086,Methyltransferase
2g7b,P29373,UNKNOWN
2g7q,Q45894,Hydrolase
2ga4,P09385,Hydrolase
2ga9,P23371,Transferase
2gbw,A2TC87,Dioxygenase
2gcg,Q9UBQ7,Oxidoreductase
2gco,P08134,UNKNOWN
2gdz,P15428,Oxidoreductase
2gg2,P0AE18,Aminopeptidase
2gh4,O34559,Glycosidase
2gj3,P30663,Kinase
2gj8,P25522,Hydrolase
2gjl,Q9I4V0,Oxidoreductase
2gke,P44859,Isomerase
2gks,O67174,Kinase
2gl0,Q8ZVF7,UNKNOWN
2glp,O25928,Lyase
2glx,Q2I8V6,Oxidoreductase
2gm3,Q8LGG8,UNKNOWN
2gmh,P55931,Oxidoreductase
2gn2,P11954,Allosteric enzyme
2gn4,O25511,Lyase
2gnv,O04986,Oxidoreductase
2gou,Q8EEC8,Oxidoreductase
2gpt,Q9SQT8,Lyase
2gqs,P0A7D7,Ligase
2gqt,Q5SJC8,Oxidoreductase
2gqw,Q52437,Oxidoreductase
2gr7,Q48152,UNKNOWN
2gru,Q9S5E2,Lyase
2gsd,O08375,UNKNOWN
2gsq,P46088,Transferase
2gsr,P80031,Transferase
2gte,O02372,UNKNOWN
2guf,P06129,Porin
2gv8,Q9HFE4,Monooxygenase
2gwh,O75897,Transferase
2gwl,P21454,Glycosyltransferase
2gxq,O07897,Helicase
2gz1,A0A0H2UPS5,Oxidoreductase
2gz5,P53582,Aminopeptidase
2gzm,A0A6L8PKK6,Isomerase
2gzs,Q6KD95,Hydrolase
2h03,P23467,Hydrolase
2h12,P20901,Allosteric enzyme
2h1f,A0A0H2VC26,Glycosyltransferase
2h1h,P24173,Glycosyltransferase
2h21,Q43088,Methyltransferase
2h29,Q5HFG7,Nucleotidyltransferase
2h2q,Q27793,Methyltransferase
2h3d,Q99KQ4,Cytokine
2h59,Q9WYW0,Transferase
2h5y,Q8PHA1,UNKNOWN
2h6b,Q8RPJ2,DNA-binding
2h6f,P49356,Prenyltransferase
2h7c,P23141,Hydrolase
2h8g,Q9T0I8,Hydrolase
2h8z,Q88NF7,Oxidoreductase
2h92,P63807,Kinase
2hah,Q66972,Aspartyl protease
2hai,Q99AU2,Helicase
2haw,P37487,Hydrolase
2hbl,Q12149,Exonuclease
2hcj,P0CE47,Elongation factor
2hej,Q91WR5,Oxidoreductase
2hek,O67745,UNKNOWN
2hf9,Q57884,Hydrolase
2hfk,Q9ZGI2,Acyltransferase
2hfn,P74295,UNKNOWN
2hg8,O15382,Aminotransferase
2hgs,P48637,Ligase
2hhj,P07738,Hydrolase
2hi4,P05177,Lyase
2hj3,Q8GXX0,Oxidoreductase
2hjp,Q84G06,Hydrolase
2hjr,Q5CYZ3,Oxidoreductase
2hk1,A9CH28,Isomerase
2hk9,O67049,Oxidoreductase
2hlv,P07435,UNKNOWN
2hmq,P02246,UNKNOWN
2hmt,O32080,UNKNOWN
2hnk,Q8F8Y3,Methyltransferase
2hox,Q01594,Lyase
2hps,C9V488,UNKNOWN
2hqm,P41921,Oxidoreductase
2hqu,P33316,Hydrolase
2hs1,Q7SSI0,Aspartyl protease
2hs3,Q9X0X3,Ligase
2htq,Q07599,Glycosidase
2hu9,O29901,Chaperone
2huo,Q9QXN5,Oxidoreductase
2hv7,Q15257,Isomerase
2hvh,Q45458,DNA-binding
2hvw,Q8DSE5,Hydrolase
2hw2,A0QRS5,Transferase
2hxt,Q8P3K2,Lyase
2hys,Q26241,Blood coagulation cascade inhibiting toxin
2hzl,Q3J1R2,UNKNOWN
2hzq,P05090,UNKNOWN
2i0a,O38723,Aspartyl protease
2i0d,O38731,Aspartyl protease
2i0k,Q7SID9,Oxidoreductase
2i1q,O73948,DNA-binding
2i3g,P9WPZ9,Oxidoreductase
2i4i,O00571,DNA-binding
2i4o,Q6N5P6,Aminoacyl-tRNA synthetase
2i4v,Q903J0,Aspartyl protease
2i4w,O92139,Aspartyl protease
2i5f,P08567,UNKNOWN
2i6u,P9WIT9,Transferase
2i7c,Q8II73,Transferase
2i7f,A2TC31,Dioxygenase
2i7n,Q8TE04,Kinase
2i80,Q5HEB7,Ligase
2i82,P0AA37,Isomerase
2i8t,Q6XQ58,Hydrolase
2ibj,P49096,UNKNOWN
2ibn,Q9UGB7,Oxidoreductase
2ibt,P14385,DNA-binding
2iby,P24752,Acyltransferase
2ica,P20701,Integrin
2ick,Q13907,Isomerase
2icy,Q9M9P3,Nucleotidyltransferase
2idv,P29557,Initiation factor
2if8,P07250,Kinase
2ig3,Q0PB48,UNKNOWN
2ihm,Q9JIW4,DNA-directed DNA polymerase
2iht,Q9LCV9,Transferase
2ii3,P11181,Acyltransferase
2iiz,Q8EIU4,Oxidoreductase
2ij2,P14779,Monooxygenase
2ikf,Q381M1,Nucleotidyltransferase
2il4,Q9CAQ2,Acyltransferase
2ilp,P0DPI1,Hydrolase
2im0,P03300,Helicase
2ima,Q84GJ4,Neurotoxin
2imf,Q51948,Isomerase
2imk,Q7PVS6,Transferase
2imp,P25553,Oxidoreductase
2ior,P0A6Z3,Chaperone
2ioy,Q8RD41,UNKNOWN
2iph,Q04544,Hydrolase
2ipi,Q0PCD7,Oxidoreductase
2iry,P9WNV3,DNA-binding
2is6,P03018,DNA-binding
2isa,Q3LSM1,Oxidoreductase
2isk,Q92PC8,Oxidoreductase
2isw,A8B2U2,Lyase
2itf,Q2FZE9,UNKNOWN
2itm,P09099,Allosteric enzyme
2iu8,P0CD76,Acyltransferase
2iuf,D9N167,Oxidoreductase
2iut,Q9I0M3,DNA-binding
2iuw,Q96Q83,Dioxygenase
2iv3,Q93KV2,Transferase
2ivd,P56601,Oxidoreductase
2ivn,Q9UXT7,Acyltransferase
2iw1,P25740,Glycosyltransferase
2iw3,P16521,Elongation factor
2iwc,P0A0B0,UNKNOWN
2iwx,P02829,Chaperone
2iwz,Q9NWU1,Acyltransferase
2ix0,P30850,Exonuclease
2ix4,Q8L3X9,Acyltransferase
2ixa,A4Q8F7,Glycosidase
2ixc,P9WH11,Isomerase
2ixf,P36370,Translocase
2ixk,Q9HU21,Isomerase
2iy7,Q15KI8,Glycosyltransferase
2iy8,Q9CP67,UNKNOWN
2iya,Q3HTL7,Transferase
2iyf,Q53685,Glycosyltransferase
2iyg,Q3J677,UNKNOWN
2iz1,P96789,Oxidoreductase
2j07,P61497,DNA-binding
2j0b,O09008,Developmental protein
2j0p,P31517,UNKNOWN
2j0s,P38919,Helicase
2j0v,O82480,UNKNOWN
2j0w,P08660,Allosteric enzyme
2j1g,Q15485,UNKNOWN
2j1p,Q43133,Transferase
2j27,P04789,Isomerase
2j2m,A2A136,Oxidoreductase
2j3l,Q831W7,Aminoacyl-tRNA synthetase
2j41,Q5HGM3,Kinase
2j4d,Q84KJ5,DNA-binding
2j4j,Q97ZE2,Kinase
2j5b,Q5UPJ7,Aminoacyl-tRNA synthetase
2j5v,P0A7B5,Kinase
2j6h,P17169,Aminotransferase
2j6l,P49419,Oxidoreductase
2j78,Q08638,Glycosidase
2j7t,O94804,Kinase
2j8f,P15057,Antimicrobial
2j8w,P00142,UNKNOWN
2j8z,Q53FA7,Oxidoreductase
2j90,O43293,Activator
2j96,P00309,UNKNOWN
2j9c,Q60381,UNKNOWN
2j9l,P51795,UNKNOWN
2jae,Q8VPD4,Oxidoreductase
2jaf,B0R2U4,Photoreceptor protein
2jah,Q9LCV7,Oxidoreductase
2jaq,Q93IG4,Kinase
2jar,Q9JM14,Hydrolase
2jbf,Q8DH45,UNKNOWN
2jbh,Q9NRG1,UNKNOWN
2jbv,Q7X2H8,Oxidoreductase
2jc3,P29848,Transferase
2jcb,A0A6L8PZ12,UNKNOWN
2jch,O70038,Carboxypeptidase
2jdc,Q65LG7,UNKNOWN
2je7,P81637,Toxin
2jec,P08902,Toxin
2jfn,P22634,Isomerase
2jfp,Q836J0,Isomerase
2jfq,Q6GHT5,Isomerase
2jfz,Q9ZLT0,Isomerase
2jg0,P13482,Glycosidase
2jg1,P0A0B9,Kinase
2jgb,O60573,Initiation factor
2jhf,P00327,Oxidoreductase
2jhl,O00602,UNKNOWN
2jhp,P07132,UNKNOWN
2jie,P22505,Glycosidase
2jih,Q9UHI8,Heparin-binding
2jio,P81186,Oxidoreductase
2jjn,P48635,Monooxygenase
2jjq,Q9UZR7,Methyltransferase
2jkb,Q54727,Glycosidase
2jkh,P00742,Hydrolase
2jko,Q00944,Developmental protein
2jl1,Q2TNI4,UNKNOWN
2jlv,Q2YHF0,Helicase
2kin,P56536,Hydrolase
2lhb,P02208,UNKNOWN
2lig,P02941,Transducer
2mas,Q27546,Glycosidase
2mhr,P02247,Muscle protein
2mjp,Q57679,Hydrolase
2nad,P33160,Oxidoreductase
2ngr,P60953,Hydrolase
2nlr,Q54331,Glycosidase
2nm3,P56740,Isomerase
2nnj,P10632,Monooxygenase
2nox,Q1LK00,Dioxygenase
2np9,Q8KLK7,Oxidoreductase
2nrl,P68190,Muscle protein
2nrm,P68189,Muscle protein
2nst,P0C1A9,Aspartyl esterase
2ntk,O27099,Hydrolase
2ntv,Q9CBM1,Oxidoreductase
2nuu,P0AC55,UNKNOWN
2nuy,Q4JC35,Lyase
2nv4,O29998,UNKNOWN
2nva,Q84527,Lyase
2nvk,P91938,Oxidoreductase
2nw8,Q8PDA8,Dioxygenase
2nwb,Q8E972,Oxidoreductase
2nwf,Q02762,Translocase
2nxe,Q84BQ9,Methyltransferase
2nxh,O66496,Transferase
2nya,P33937,Oxidoreductase
2nz2,P00966,Ligase
2nz5,Q9KZF5,Monooxygenase
2nzt,P52789,Allosteric enzyme
2nzu,P46828,Activator
2nzx,O30511,Glycosyltransferase
2o07,P19623,Transferase
2o0j,P17312,Endonuclease
2o1c,P0AFC0,Hydrolase
2o1s,P77488,Transferase
2o2c,P13377,Isomerase
2o2y,Q9BH77,Oxidoreductase
2o4c,Q9I3W9,Oxidoreductase
2o6p,Q8KQR1,UNKNOWN
2o73,A1L259,Decarboxylase
2o7e,Q3IWB0,Lyase
2o90,P0AC16,Isomerase
2o99,P16528,DNA-binding
2oal,Q8KHZ8,Oxidoreductase
2obd,P11597,UNKNOWN
2obe,Q8UY79,UNKNOWN
2obm,B7UMA6,Translocase
2oci,Q86WA6,Hydrolase
2ode,P08754,Transducer
2oeg,Q4QDU3,Nucleotidyltransferase
2oem,Q5L1E2,Isomerase
2ofi,Q8Z2A5,Glycosidase
2og7,Q9Z4Z5,Oxidoreductase
2oga,Q9ZGH4,Transferase
2oh5,O10693,UNKNOWN
2ohh,Q50497,Oxidoreductase
2ohv,Q9A1B7,Isomerase
2oi2,A0A0H2UNK6,Kinase
2oif,Q42831,Oxidoreductase
2oiz,P84887,Oxidoreductase
2ojw,P15104,Ligase
2oke,P17374,Hydrolase
2okg,O32253,DNA-binding
2okj,Q99259,Decarboxylase
2okl,Q819K2,Hydrolase
2oln,Q9X9P9,Oxidoreductase
2olp,P41261,UNKNOWN
2om2,P63096,Hydrolase
2onr,O30142,UNKNOWN
2ool,Q6N5G2,Kinase
2oq2,P18408,Oxidoreductase
2oq5,Q9UL52,Hydrolase
2ort,P29477,Calmodulin-binding
2orw,Q9WYN2,Kinase
2oua,Q6K1C5,Hydrolase
2our,Q9Y233,Allosteric enzyme
2ovd,P07360,UNKNOWN
2ow4,P81364,UNKNOWN
2ow6,Q24451,Glycosidase
2oxn,Q9KU37,Glycosidase
2oyk,O33853,UNKNOWN
2oys,A0A0H2URW2,UNKNOWN
2oyy,Q5LL55,UNKNOWN
2oz5,P96830,UNKNOWN
2oze,Q57280,UNKNOWN
2ozy,P0ABL1,UNKNOWN
2p0d,Q9BRR9,GTPase activation
2p1o,Q570C0,Developmental protein
2p2v,Q9RGF1,Glycosyltransferase
2p39,Q9GZV9,Growth factor
2p3a,Q6BB74,Aspartyl protease
2p3c,Q6Q004,Aspartyl protease
2p41,Q9WLZ5,Helicase
2p4s,A4Q998,Glycosyltransferase
2p4t,P00383,Oxidoreductase
2p53,P0AF18,Hydrolase
2p72,Q89399,Glycosyltransferase
2p8b,Q81IL5,Isomerase
2p8u,Q01581,Transferase
2p9h,P03023,DNA-binding
2pa7,Q6T1W8,Isomerase
2par,P76491,Hydrolase
2pb2,P40732,Aminotransferase
2pd4,O24990,Oxidoreductase
2pdr,Q9C3Y6,Activator
2per,O15247,Chloride channel
2pfe,Q47SP5,Hydrolase
2pfy,Q7VXB1,UNKNOWN
2pfz,Q7VXB3,UNKNOWN
2pg5,Q16696,Monooxygenase
2pgf,A5KE01,Hydrolase
2pia,P33164,Oxidoreductase
2pid,Q9Y2Z4,Aminoacyl-tRNA synthetase
2piy,P09955,Carboxypeptidase
2pjl,P11474,DNA-binding
2pk3,Q6T1X6,Oxidoreductase
2pk5,Q9J2P7,Aspartyl protease
2pk6,Q9Q2G8,Aspartyl protease
2pl1,P23836,Activator
2pl3,Q13206,Helicase
2plm,Q9X034,Hydrolase
2pnc,Q29437,Oxidoreductase
2pnz,Q9V119,Exonuclease
2po3,Q9ZGH0,UNKNOWN
2poc,P53704,Aminotransferase
2pp1,Q8ZL58,Lyase
2pqc,Q9R4E4,Transferase
2pqm,O15570,Transferase
2pr5,O34627,Photoreceptor protein
2ps1,P13298,Glycosyltransferase
2psv,O38707,Aspartyl protease
2ptm,O76977,UNKNOWN
2ptr,P0AB89,Lyase
2ptz,Q38BV6,Lyase
2pu1,Q9NDH8,Lyase
2puj,P47229,Hydrolase
2pun,O31663,Kinase
2puz,Q8U8Z6,Hydrolase
2pv7,P43902,Isomerase
2pwd,Q2PS28,Glycosidase
2pwy,Q8GBB2,Methyltransferase
2px8,P05769,Helicase
2pxx,P0DPD7,Methyltransferase
2pyj,P03680,DNA-binding
2pyw,Q9C6D2,Kinase
2pz8,Q81RP3,Ligase
2pze,P13569,Chloride channel
2pzm,O87988,Transferase
2q09,A0KF84,Hydrolase
2q0l,P56431,Oxidoreductase
2q0o,P55407,Activator
2q16,P52061,Hydrolase
2q1a,Q97UA0,Lyase
2q1s,O87989,Transferase
2q1w,O87987,Transferase
2q28,P0AFI0,Decarboxylase
2q2n,P32396,Lyase
2q2t,O41026,Ligase
2q2v,Q9AE70,Oxidoreductase
2q32,P30519,Oxidoreductase
2q37,Q9LVM5,Decarboxylase
2q3e,O60701,Allosteric enzyme
2q3r,Q8LAH7,Oxidoreductase
2q46,Q94EG6,UNKNOWN
2q4w,Q9FUJ1,Oxidoreductase
2q54,O38710,Aspartyl protease
2q55,O38719,Aspartyl protease
2q58,Q5CR09,Transferase
2q5q,P51852,Decarboxylase
2q66,P29468,RNA-binding
2q7a,Q06A48,UNKNOWN
2q7d,Q13572,Hydrolase
2q7v,Q9RSY7,Oxidoreductase
2q83,O34656,UNKNOWN
2q88,Q92WC8,UNKNOWN
2q8g,Q15118,Kinase
2q8m,P0A993,Allosteric enzyme
2q8p,Q7A652,UNKNOWN
2q9u,Q86QZ1,UNKNOWN
2qa1,Q93LY7,UNKNOWN
2qbu,O27402,Methyltransferase
2qcx,P25052,Hydrolase
2qdh,Q9U5N6,Lyase
2qdx,Q9HYK7,Oxidoreductase
2qe0,Q59931,Oxidoreductase
2qeb,Q7PNF2,Vasoactive
2qes,P84854,Hydrolase
2qf7,Q2K340,Ligase
2qfv,P21954,Oxidoreductase
2qg6,Q9NWW6,Kinase
2qgi,P05449,UNKNOWN
2qhs,Q5SLQ3,Acyltransferase
2qie,P65401,Transferase
2qim,Q9LLQ2,Hydrolase
2qio,A0A6L8PBX8,Oxidoreductase
2qir,Q8GLI5,Acyltransferase
2qjn,A4XF23,Lyase
2qjt,Q5NHR1,Hydrolase
2qlu,Q13705,Kinase
2qlx,Q7BSH1,Isomerase
2qm7,Q8RPA0,UNKNOWN
2qmc,O25743,Acyltransferase
2qno,P37698,Glycosidase
2qpu,P00693,Glycosidase
2qpy,P19091,DNA-binding
2qpz,P0A185,UNKNOWN
2qrd,Q10343,UNKNOWN
2qrw,P9WN23,UNKNOWN
2qry,P31550,UNKNOWN
2qt6,Q5EBY5,Oxidoreductase
2qtc,P0AFG8,Oxidoreductase
2qtr,C3L5T6,Nucleotidyltransferase
2qtz,Q9UBK8,Oxidoreductase
2qv6,Q57609,Hydrolase
2qv7,Q6GFF9,Kinase
2qve,Q8GMG0,Isomerase
2qx0,A0A5P8YCA3,Kinase
2qxf,P04995,DNA-binding
2qxi,P49862,Hydrolase
2qxx,P9WP17,Hydrolase
2qyk,P27815,Hydrolase
2qz4,Q9UQ90,Hydrolase
2qzs,P0A6U8,Glycosyltransferase
2qzt,Q0GY13,UNKNOWN
2qzy,P21642,Decarboxylase
2r0c,Q8KI25,Methyltransferase
2r0n,Q92947,Oxidoreductase
2r14,Q51990,Oxidoreductase
2r1n,Q93LD7,Hydrolase
2r25,P39928,Kinase
2r2f,P17424,Oxidoreductase
2r3a,Q9H5I1,Chromatin regulator
2r46,P13035,Oxidoreductase
2r4b,Q15303,Activator
2r4f,P04035,Oxidoreductase
2r5e,Q17CS8,Aminotransferase
2r5p,O12158,Aspartyl protease
2r5t,O00141,Kinase
2r5v,O52791,Oxidoreductase
2r68,B8CZ51,Glycosyltransferase
2r6j,Q15GI4,Oxidoreductase
2r75,O66809,UNKNOWN
2r79,O68879,UNKNOWN
2r7a,O70018,UNKNOWN
2r7k,Q57600,Ligase
2r87,Q8U0R7,Ligase
2r94,Q704D1,Lyase
2r9f,P97571,Hydrolase
2r9z,D0VWY5,Oxidoreductase
2ra6,Q29147,Milk protein
2rbk,Q8A090,Hydrolase
2rc5,Q8EY89,Oxidoreductase
2rc8,Q9R1M7,Ion channel
2rcb,Q8VHN2,Ion channel
2rcn,Q8ZKB0,Hydrolase
2rcu,P18886,Acyltransferase
2rde,A0A0H3ADR8,UNKNOWN
2rdq,Q82IZ1,Dioxygenase
2rdz,P0ABK9,Oxidoreductase
2rfb,Q6KZ68,Monooxygenase
2rfm,Q978J0,UNKNOWN
2rgh,D0VWY7,UNKNOWN
2rgj,Q9HWG9,Monooxygenase
2rgm,Q75I93,Glycosidase
2rgo,D0VWP7,UNKNOWN
2rhc,P16544,Oxidoreductase
2rhl,P17865,UNKNOWN
2rhq,Q4L5E3,Aminoacyl-tRNA synthetase
2ri1,Q8DV70,Hydrolase
2ri9,P31723,Glycosidase
2rie,P35247,UNKNOWN
2rif,Q8ZVX8,UNKNOWN
2rin,Q92N37,UNKNOWN
2rio,P32361,Hydrolase
2rkf,Q90JJ9,Aspartyl protease
2rkg,A0F6C5,Aspartyl protease
2rkn,Q8W453,UNKNOWN
2rku,P53350,Kinase
2rkv,O42692,Transferase
2rl1,P45025,Transferase
2rl8,P11456,Receptor
2rnf,P34096,Antibiotic
2sli,Q27701,Glycosidase
2toh,P04177,Monooxygenase
2tpr,P39040,Oxidoreductase
2uuq,P9WPN5,Monooxygenase
2uuu,O96759,Transferase
2uv4,P54619,UNKNOWN
2uvf,O68975,Glycosidase
2ux9,Q5SIE3,UNKNOWN
2uy5,P29029,Glycosidase
2uyi,P52732,Motor protein
2uyq,Q9CCZ4,Methyltransferase
2uyt,Q1R415,Kinase
2uyw,A7YYL1,UNKNOWN
2uzh,A0R559,Lyase
2uzj,P0C0J0,Hydrolase
2v03,P16703,Transferase
2v0c,Q7SIE4,Aminoacyl-tRNA synthetase
2v0i,P43889,Acyltransferase
2v0u,O49003,Kinase
2v1o,Q91V12,Hydrolase
2v1x,P46063,DNA-binding
2v26,Q29122,Actin-binding
2v2z,O67060,Kinase
2v3a,Q9HTK9,Oxidoreductase
2v3u,Q63226,Ion channel
2v54,P68693,Kinase
2v57,Q58L87,DNA-binding
2v5e,Q62997,Receptor
2v6g,Q6PQJ9,Oxidoreductase
2v6i,Q32ZD5,Helicase
2v6k,O86043,Isomerase
2v77,P15085,Carboxypeptidase
2v7k,P95481,Oxidoreductase
2v7o,Q13555,Calmodulin-binding
2v7p,Q5SJA1,Allosteric enzyme
2v7y,Q5KWZ7,Chaperone
2v82,Q6BF16,Lyase
2v8h,Q96W94,Hydrolase
2v8q,P80385,UNKNOWN
2v95,P31211,UNKNOWN
2vap,Q57816,UNKNOWN
2var,Q97U29,Kinase
2vat,P39058,Acyltransferase
2vb8,P0A953,Acyltransferase
2vbf,Q6QBS4,Decarboxylase
2vbu,Q60365,Kinase
2vch,Q9M156,Glycosyltransferase
2vck,Q58MU6,Oxidoreductase
2vcn,Q43758,Oxidoreductase
2vct,P09210,Transferase
2vcv,Q16772,Transferase
2vd8,A0A6L7HC45,Isomerase
2vdv,Q12009,Methyltransferase
2vdy,P08185,UNKNOWN
2ve3,Q59990,Monooxygenase
2vea,Q55168,Kinase
2veb,Q8TLY9,UNKNOWN
2veg,P59655,Transferase
2vez,Q4WCU5,Acyltransferase
2vf7,Q9RYW8,DNA-binding
2vfr,Q9ZBU1,Oxidoreductase
2vg0,P9WFF5,Transferase
2vhd,P14532,Oxidoreductase
2vhe,Q0P9D1,Acyltransferase
2vhl,O34450,Hydrolase
2vhq,Q94M05,UNKNOWN
2vhw,P9WQB1,Oxidoreductase
2vjm,O06644,Transferase
2vjy,Q12629,Decarboxylase
2vk1,P06169,Allosteric enzyme
2vk2,P39325,UNKNOWN
2vk7,Q59310,Glycosidase
2vkh,Q46342,Glycosyltransferase
2vmg,A0A0H2YQB3,UNKNOWN
2vmq,Q7SIB6,Transferase
2vn1,Q8I4V8,Chaperone
2vnk,Q9L6V3,Oxidoreductase
2vnv,B4EH87,UNKNOWN
2vo4,O49235,Transferase
2vos,O53174,Ligase
2vpn,E1VBK1,UNKNOWN
2vpq,A0A0H3JRR2,Ligase
2vpr,P51561,DNA-binding
2vq3,Q658P3,Oxidoreductase
2vqd,P37798,Ligase
2vqm,P56524,Chromatin regulator
2vr4,Q8AAK6,Glycosidase
2vrq,O69262,Glycosidase
2vsu,O69762,Lyase
2vt3,O05521,DNA-binding
2vur,Q0TR53,Glycosidase
2vv6,P23222,Kinase
2vvg,A8BKD1,Motor protein
2vvm,P46882,Oxidoreductase
2vvp,P9WKD7,Isomerase
2vwa,Q8IEU1,UNKNOWN
2vwd,Q9IH62,Hemagglutinin
2vwi,O95747,Kinase
2vwt,P76469,Lyase
2vxh,E2DI02,UNKNOWN
2vxn,P48499,Isomerase
2vxo,P49915,Ligase
2vyc,P28629,Decarboxylase
2vyt,Q9UQR0,Repressor
2vzq,Q56F26,Glycosidase
2vzw,P9WGK1,Kinase
2vzz,P9WQG7,Acyltransferase
2w0m,Q97VZ8,UNKNOWN
2w15,P83512,Complement system impairing toxin
2w1a,P9WIC1,Isomerase
2w22,Q59260,Hydrolase
2w2i,B2RXH2,Chromatin regulator
2w2t,P15153,Hydrolase
2w31,Q747F6,UNKNOWN
2w39,Q874E3,Glycosidase
2w3g,P9WGK3,Kinase
2w41,Q8IDI4,Kinase
2w47,A3DK57,Hydrolase
2w58,Q5KWD0,UNKNOWN
2w5t,Q7A1I3,Transferase
2w87,Q51815,Glycosidase
2w8r,P51649,Oxidoreductase
2w8t,Q93UV0,Acyltransferase
2w8z,I3NI58,Oxidoreductase
2w92,Q93HW0,UNKNOWN
2w9s,P13955,Oxidoreductase
2wa2,Q8QL64,Helicase
2wat,P19097,Multifunctional enzyme
2wba,P39051,Oxidoreductase
2wbq,Q6WZB0,Oxidoreductase
2wc1,P52967,UNKNOWN
2wc5,P34170,UNKNOWN
2wda,O86516,Lyase
2wde,Q72IT0,Hydrolase
2wds,O86785,Transferase
2we5,P0A2X7,Kinase
2wei,A3FQ16,Kinase
2wel,Q13557,Calmodulin-binding
2wet,A4D0H5,Oxidoreductase
2wg9,Q9XG81,Hydrolase
2wgr,Q00277,Oxidoreductase
2wic,A6TF32,UNKNOWN
2wie,A5HEI4,UNKNOWN
2wiy,Q8GPH7,Monooxygenase
2wji,Q57986,UNKNOWN
2wk0,P00808,Hydrolase
2wk1,Q9L9F2,Methyltransferase
2wk9,Q9KM65,Acyltransferase
2wkw,Q7SIA5,UNKNOWN
2wl9,Q6REQ5,UNKNOWN
2wlg,Q93S40,Transferase
2wlz,P07254,Glycosidase
2wmc,Q0GRC4,Initiation factor
2wme,Q9HTJ1,Oxidoreductase
2wn6,Q9KH42,Glycosyltransferase
2wn9,Q8WSF8,Receptor
2wnb,Q02745,Glycosyltransferase
2woe,P14300,Hydrolase
2woj,Q12154,Hydrolase
2wor,P31151,UNKNOWN
2wpx,Q8KRB5,Acyltransferase
2wq5,P15445,Hydrolase
2wqf,Q9CED0,Oxidoreductase
2wqn,Q8TDX7,Kinase
2wqp,Q7DDU0,UNKNOWN
2wr8,O58212,Hydrolase
2wsb,C0KTJ6,Oxidoreductase
2wsi,P38913,Hydrolase
2wtg,P30627,UNKNOWN
2wtn,D2YW37,Hydrolase
2wuu,D0AB09,Acyltransferase
2ww2,Q8A5N9,UNKNOWN
2ww4,P62615,Kinase
2wwc,Q8DP07,Glycosidase
2wxf,O35904,Kinase
2wy4,Q0P842,UNKNOWN
2wya,P54868,Transferase
2wyv,Q5SLI9,Oxidoreductase
2wzb,P00558,Kinase
2wzf,Q5ZVS2,UNKNOWN
2wzm,A0QV09,Oxidoreductase
2wzs,Q8A0N1,UNKNOWN
2wzv,A0R6D0,Oxidoreductase
2x06,Q58820,Oxidoreductase
2x1e,P15802,Acyltransferase
2x1l,A0R3E2,Aminoacyl-tRNA synthetase
2x2o,Q81G57,UNKNOWN
2x32,Q21LI5,UNKNOWN
2x3f,Q6GDK5,Ligase
2x3j,Q93AT8,UNKNOWN
2x52,P10969,UNKNOWN
2x56,P17811,Aspartyl protease
2x5d,Q9HV83,Aminotransferase
2x5o,P14900,Ligase
2x65,Q9X0C3,Nucleotidyltransferase
2x71,P94458,Hydrolase
2x77,Q4QEJ1,UNKNOWN
2x7j,P23970,Transferase
2x8m,Q8DR52,UNKNOWN
2x9g,O76290,Oxidoreductase
2x9o,Q02189,Oxidoreductase
2xa2,O58762,Glycosyltransferase
2xad,Q6ZZJ1,Acyltransferase
2xau,P53131,Helicase
2xbk,Q9EW92,Monooxygenase
2xbu,Q04178,Glycosyltransferase
2xcf,C1KHN2,Hydrolase
2xcm,Q7XJ80,Chaperone
2xcu,O66663,Transferase
2xcw,P49902,Allosteric enzyme
2xdo,Q93L51,Monooxygenase
2xem,Q84HI7,UNKNOWN
2xf3,Q8KRB7,UNKNOWN
2xg5,P15319,Chaperone
2xgb,P16098,Glycosidase
2xgs,Q8PC69,Glycosyltransferase
2xh1,Q8N5Z0,Aminotransferase
2xi7,A5HC98,Hydrolase
2xki,O76242,UNKNOWN
2xkl,Q9Z1R3,UNKNOWN
2xko,P29283,Activator
2xlq,Q8GHB2,Prenyltransferase
2xn6,P05543,UNKNOWN
2xnm,P51955,Kinase
2xod,A0A1T3V7R2,UNKNOWN
2xpu,P0ACT4,DNA-binding
2xq0,Q10740,Hydrolase
2xrh,O25423,UNKNOWN
2xrw,P45983,Kinase
2xsq,Q96DE0,Hydrolase
2xsu,Q9F103,Dioxygenase
2xta,A0R2B1,Acyltransferase
2xtm,Q9UG22,UNKNOWN
2xtz,P18064,Hydrolase
2xu3,P07711,Hydrolase
2xua,Q13KT2,Hydrolase
