PDB_ID,UniProt_ID
1w4r,P04183
1w4x,Q47PU3
1w55,Q9PM68
1w5f,O08398
1w5s,Q9YFU8
1w66,P9WK83
1w68,P11157
1w6f,O86309
1w6k,P48449
1w6s,P16027
1w6u,Q16698
1w78,P08192
1w7j,Q02440
1w7o,Q6XCI5
1w85,P21873
1w8s,P58315
1w96,Q00955
1w9t,Q9KG76
1w9x,O82839
1wa3,Q9WXS1
1wad,P00133
1wb5,P51584
1wb9,P23909
1wbi,P56732
1wc3,O32393
1we1,P72849
1wht,P08819
1wk8,P56690
1wk9,P96142
1wl4,Q9BWD1
1wle,Q9N0F3
1wlj,Q96AZ6
1wm1,O32449
1wma,P16152
1wms,P51151
1wn3,Q5SJP3
1wnb,P77674
1wng,O58456
1wop,Q9WY54
1wov,P74133
1wpc,P19571
1wql,Q51743
1wri,P00237
1ws1,Q819U0
1wtc,O59791
1wub,P83815
1wur,Q5SH52
1wuw,P21742
1wvf,P09788
1wvg,P26397
1ww5,Q6WY08
1wx4,Q83WS2
1wxi,P18843
1wy7,O59611
1wyu,Q5SKW7
1wzd,Q54AI1
1x0p,Q8DMN3
1x14,P07001
1x1i,Q9AQS0
1x1t,Q5KST5
1x1v,Q8L5H4
1x1z,O26232
1x3k,Q7M422
1x3x,Q17091
1x46,Q7M421
1x54,O57980
1x7d,Q88H32
1x82,P83194
1x8d,P32156
1x8p,Q94734
1x8v,P9WPP9
1x92,Q9HVZ0
1x9i,Q8ZWV0
1xa4,P31572
1xah,Q6GGU4
1xc1,P17259
1xcj,P10868
1xd3,P15374
1xdn,P86927
1xdp,P0A7B1
1xey,P69908
1xez,P09545
1xg3,P77541
1xhf,P0A9Q1
1xim,P12851
1xio,Q8YSC4
1xiu,Q8T5C6
1xjd,Q04759
1xk5,O95149
1xkd,Q9YE81
1xkl,Q6RYA0
1xkv,Q5SLL5
1xkw,P42512
1xkz,P18357
1xl8,Q9DC50
1xlq,P00259
1xlr,P26602
1xng,O25096
1xnj,O43252
1xnk,Q8J1V6
1xny,Q9X4K7
1xoz,O76074
1xp8,P42443
1xpm,A0A0H3K1U2
1xpy,Q9RYA6
1xqp,Q8ZVK6
1xr2,Q9X112
1xrk,P17493
1xrl,P96084
1xs1,P28248
1xtt,Q980Q4
1xu9,P28845
1xuz,Q57265
1xv5,P04519
1xva,P13255
1xvb,P22869
1xwk,P09488
1xym,P15587
1y1p,Q9UUN9
1y20,P35439
1y21,O76745
1y2g,P77173
1y2k,Q08499
1y4l,P24605
1y55,P56734
1y60,Q9FA38
1y7t,P10584
1y8o,Q15120
1y9t,P0A1X2
1yaa,P23542
1yag,P60010
1yat,P20081
1yb6,P52704
1ybh,P17597
1ybk,Q54436
1ybq,P39377
1ybu,O07732
1ycd,P38777
1yej,Q58EU8
1yf3,P04392
1yfd,P69924
1yfr,O67323
1yfz,Q8R7L0
1yhl,Q8WS26
1yid,Q9RVD6
1yiq,Q4W6G0
1ykd,P94182
1ylh,A6VKV4
1ym1,Q9L5C8
1ymt,P33242
1ynh,P76216
1ynk,Q6PJB2
1ynq,Q9KE47
1yns,Q9UHY7
1yon,P0A9J4
1yp2,P23509
1yq9,P12944
1yqd,Q94G59
1yqt,Q8U306
1yqz,O52582
1yrb,Q9UYR9
1yro,P08037
1yrx,Q53119
1ys1,P22088
1ys4,Q57658
1ysl,Q9FD71
1ytc,P00045
1ytm,O09460
1yum,Q9HX21
1yvf,O93077
1yvx,P26660
1yyq,P13513
1yzl,Q9R0M6
1yzq,P20340
1z03,O05935
1z06,O35963
1z08,Q9UL25
1z0a,P61019
1z0f,P61106
1z0j,P35285
1z0k,P20338
1z0s,O30297
1z29,P50226
1z2a,P35288
1z2n,Q9XYQ1
1z3c,Q8SR66
1z3w,Q7LIJ0
1z41,P54550
1z45,P04397
1z4v,P04850
1z5b,O05207
1z6t,O14727
1z7w,P47998
1z84,Q9FK51
1z8d,P11217
1z8o,Q00441
1zar,O30245
1zb6,Q4R2T2
1zcb,P27601
1zch,P94424
1zcm,P07384
1zed,P05187
1zei,P01315
1zem,Q8GR61
1zes,P0AFJ5
1zfj,P0C0H6
1zg3,Q29U70
1zgd,Q40309
1zgs,P83304
1zh4,P21866
1zhx,P35844
1zin,P27142
1zj6,Q9Y689
1zk4,Q84EX5
1zk7,P00392
1zlf,Q7ZCL6
1zm7,Q9XZT6
1zmt,Q93D82
1zne,P11589
1zny,P9WKE9
1zos,Q8DQ16
1zot,P0DKX7
1zpl,Q99003
1zr6,Q6PW77
1zsq,Q13614
1zth,O28471
1zua,O60218
1zuw,P94556
1zxm,P11388
1zy5,P15442
1zy7,P78563
1zz7,Q56185
25c8,P01869
2a19,P19525
2a1x,O14832
2a2c,Q01415
2a2r,P09211
2a31,P00761
2a3b,Q873X9
2a3m,Q30WH0
2a4q,Q91RS4
2a5d,P62330
2a5h,Q9XBQ8
2a68,Q8RQE9
2a6h,Q8RQE8
2a84,P9WIL5
2a8t,Q6TEC1
2a8y,Q97W94
2a92,Q4PRK9
2a94,Q27743
2a9z,Q9TVW2
2aaz,P0CS12
2acv,Q5IFH7
2ad6,P38539
2ae2,P50163
2aeb,P05089
2af4,P38503
2afw,Q16769
2ag4,P17900
2ag5,Q9BUT1
2ag8,Q9K1N1
2agd,P15291
2ah2,Q26966
2ahr,Q9A1S9
2ahv,Q8X5X6
2aib,P15569
2aiq,P09872
2aiu,P00015
2aj4,P04385
2aj8,P22411
2ajv,P01837
2ak3,P08760
2an9,P60546
2aot,P50135
2apc,P27115
2aqx,B2RXC2
2ar8,P95480
2arc,P0A9E0
2aru,Q9HKT1
2ate,P0AG18
2avk,Q9REU3
2ay1,P95468
2az3,P61136
2az5,P01375
2b1x,Q9X3R9
2b2j,O29285
2b3d,P0AEY5
2b3v,P21673
2b4q,Q9RPT1
2b4r,Q8T6B1
2b4z,P62894
2b56,Q86MV5
2b5w,Q977U7
2b7n,O25909
2b7r,P0C278
2b82,P0AE22
2b8t,Q9PPP5
2b99,Q58584
2b9h,P16892
2b9w,Q6A8X5
2bb6,Q9XSC9
2bbh,Q9WZ31
2bc0,Q5XC60
2bcg,P01123
2bd0,Q8KES3
2bdg,Q9Y5K2
2bei,Q96F10
2bek,Q72H90
2ber,Q02834
2bfd,P12694
2bfg,Q9ZFM2
2bfq,O28751
2bgm,Q94KL8
2bgs,P23901
2bh2,P55135
2bh4,Q00499
2bhi,P60301
2bhw,P07371
2bi7,Q48485
2bib,Q8DQ62
2bif,P25114
2bii,P49050
2biw,P74334
2bjf,P54965
2bjk,Q5SI02
2bju,P46925
2bk9,Q9VF15
2bka,Q9BUP3
2bkl,Q9X5N2
2bkm,Q5L1S0
2bkx,O35000
2bl9,O02604
2bln,P77398
2bm0,P13551
2bmb,P53848
2bmr,Q8RTL4
2bmw,P21890
2bmz,O22321
2bne,P0A7E9
2bo6,Q9RFR0
2boy,Q8G9L3
2bq4,P94691
2bry,Q8VDP3
2bsy,P03195
2bt4,P15474
2bt6,P00257
2btm,P00943
2bto,Q8GCC5
2bue,Q6SJ71
2bv4,Q7NX84
2bv7,P68265
2bv8,Q6B8L7
2bvc,P9WN39
2bvf,P08159
2bvn,P0CE48
2bvy,Q9XCV5
2bwm,Q309D1
2bwn,P18079
2byc,Q3IYE4
2bzg,P51580
2c01,P10153
2c03,O07347
2c0r,Q59196
2c12,Q8X1D8
2c1x,P51094
2c29,P93799
2c2a,Q9WZV7
2c31,P40149
2c3q,P30711
2c42,P94692
2c43,Q9NRN7
2c49,Q57849
2c4j,P28161
2c4w,Q48255
2c5a,Q93VR3
2c5s,Q81KU0
2c6q,Q9P2T1
2c6z,P56965
2c77,P60339
2c78,Q5SHN6
2c80,P30113
2c81,Q8G8Y2
2c8a,Q7M0L1
2c8s,P14774
2c91,Q8CG76
2c92,P9WHE9
2c9e,O76183
2c9o,Q9Y265
2cb3,Q9VXN9
2cb8,P07108
2cbt,P0A3R9
2cbz,P33527
2ccj,P65248
2ccy,P00152
2cd8,O87605
2cdc,O93715
2cdn,P9WKF5
2cdp,Q6DN99
2cdu,Q9F1X5
2ce0,Q93VA3
2ce7,Q9WZ49
2cem,Q8Q3H0
2cen,Q5RZ09
2cfa,O41156
2cfc,Q56840
2cfg,P46881
2cfi,O75891
2cfm,P56709
2cfu,Q9I5I9
2cgl,P32171
2ch1,Q7PRG3
2chg,O28219
2cir,Q03161
2cit,P16218
2ciw,P04963
2cja,Q46AN5
2cjg,P9WQ77
2cjp,Q41415
2cju,P01789
2cjw,P55040
2ckf,Q65AT1
2cnd,P17571
2cnt,Q8ZJW4
2cst,P00504
2cts,P00889
2cul,Q5SH33
2cvz,Q5SLQ6
2cwh,Q4U331
2cxq,P06745
2cy0,Q5SJF8
2cy3,P00136
2cye,Q5SH84
2cym,P00131
2czs,Q748S4
2d0o,O68195
2d0s,Q76IQ6
2d0v,Q4AE26
2d0w,Q4AE24
2d1f,P9WG59
2d1g,A0Q436
2d1s,P13129
2d1y,Q5SLC4
2d24,Q7SI98
2d2f,Q5SH92
2d2i,Q55245
2d37,Q974C9
2d3m,Q58VP7
2d3y,Q5SJ65
2d4n,P07570
2d4q,P21359
2d4v,Q8GAX0
2d5a,O58836
2d7d,P37954
2d7f,P14894
2d7i,Q86SR1
2d81,B2NHN2
2db3,P09052
2dbq,O58320
2dc1,O28440
2dc3,Q8WWM9
2dcf,P07062
2de3,P54997
2dfn,P9WPY3
2dfv,O58389
2dgk,P69910
2dhc,P22643
2dio,Q9LS02
2djh,P18000
2dji,A9X9K8
2dkd,Q9P4V2
2dkh,Q6SSJ6
2dkn,Q59718
2dlc,P36421
2dns,Q9LCC8
2dpm,P04043
2dpy,P26465
2dqu,P18527
2dre,O04797
2dri,P02925
2dsa,Q59721
2dsc,Q9UKK9
2dt5,Q5SHS3
2dte,Q9HK51
2dtw,O24313
2dvn,O59580
2dw0,Q90282
2dwu,A0A6L8PVU3
2dxu,O57883
2e0a,Q16654
2e0n,Q8KFD9
2e1a,O73983
2e1t,A4PHY4
2e2l,O25836
2e2p,Q96Y14
2e2r,P62508
2e39,P28313
2e3p,Q9Y5P4
2e40,Q25BW5
2e4q,Q52440
2e4v,P31422
2e5a,O46419
2e5m,Q96YK6
2e5v,Q972D2
2e5y,P07678
2e6d,Q4D3W2
2e77,Q44467
2e7f,Q46389
2e7j,O30207
2e7z,Q71EW5
2e8v,Q12051
2e9m,Q9H227
2eac,Q6JV24
2ed4,Q5SJP7
2efe,Q9SN68
2efj,A4GE70
2eg5,A4GE69
2ei4,P29563
2eix,Q1HA49
2eju,O59493
2ekg,Q72IB8
2ekp,Q53W82
2epn,Q6ST21
2eug,P12295
2ev4,P9WMU9
2eva,O43318
2evw,P01112
2ew5,Q672W7
2ewe,P11073
2ewm,Q5P5I4
2ex6,P24228
2exj,Q09LX0
2exx,Q9HBL8
2ez8,P37063
2f01,P22629
2f17,Q9R0M5
2f1c,P76045
2f1k,P73906
2f2g,Q9ASY9
2f2h,P31434
2f2l,Q9GNK5
2f2u,Q28021
2f3d,P00636
2f3k,O38708
2f57,Q9P286
2f59,Q57DY1
2f5v,Q8J136
2f62,Q57VC7
2f69,Q8WTS6
2f6d,P08017
2f6x,O29844
2f7a,O68014
2f7c,P07774
2f7d,P43236
2f99,O52646
2f9l,Q15907
2f9w,Q9HWC1
2fa0,Q9M6U3
2fad,P0A6A8
2faq,Q9I1X7
2fb2,P69848
2fcr,P14070
2fct,Q9RBY6
2fdd,Q7SPG9
2fdv,P11509
2ff7,P08716
2ffq,Q9NRW1
2ffu,Q10471
2ffy,P00811
2fgl,O30700
2fh5,P47758
2fhj,Q49610
2fjb,O28603
2fkz,P22759
2fle,Q9J2R0
2flh,A0A1S3THR8
2fli,Q9A1H8
2fmb,Q66729
2fmk,P0A2D5
2fmy,Q3AB29
2fn1,Q9X9I8
2fn8,Q9X053
2fna,Q97Y08
2fnu,O25130
2fp2,P9WIB9
2fp4,P53590
2fpu,Q9S5G5
2fpz,P20231
2fqt,O34667
2fqx,P29724
2fr1,Q03131
2fr5,P56389
2fsh,P10408
2ft0,Q8FBQ3
2fue,Q92871
2fut,C6XZB6
2fv1,Q9RC92
2fvk,Q9P903
2fwp,Q2QJL3
2fwt,Q3J4W3
2fxd,Q90HG9
2fxe,P05959
2fyf,P9WQ73
2fzs,P0A6G7
2fzw,P11766
2g1p,P0AEE8
2g3f,P42084
2g5c,O67636
2g5r,Q9Y286
2g72,P11086
2g7b,P29373
2g7q,Q45894
2ga4,P09385
2ga9,P23371
2gbw,A2TC87
2gcg,Q9UBQ7
2gco,P08134
2gdz,P15428
2gg2,P0AE18
2gh4,O34559
2gj3,P30663
2gj8,P25522
2gjl,Q9I4V0
2gke,P44859
2gks,O67174
2gl0,Q8ZVF7
2glp,O25928
2glx,Q2I8V6
2gm3,Q8LGG8
2gmh,P55931
2gn2,P11954
2gn4,O25511
2gnv,O04986
2gou,Q8EEC8
2gpt,Q9SQT8
2gqs,P0A7D7
2gqt,Q5SJC8
2gqw,Q52437
2gr7,Q48152
2gru,Q9S5E2
2gsd,O08375
2gsq,P46088
2gsr,P80031
2gte,O02372
2guf,P06129
2gv8,Q9HFE4
2gwh,O75897
2gwl,P21454
2gxq,O07897
2gz1,A0A0H2UPS5
2gz5,P53582
2gzm,A0A6L8PKK6
2gzs,Q6KD95
2h03,P23467
2h12,P20901
2h1f,A0A0H2VC26
2h1h,P24173
2h21,Q43088
2h29,Q5HFG7
2h2q,Q27793
2h3d,Q99KQ4
2h59,Q9WYW0
2h5y,Q8PHA1
2h6b,Q8RPJ2
2h6f,P49356
2h7c,P23141
2h8g,Q9T0I8
2h8z,Q88NF7
2h92,P63807
2hah,Q66972
2hai,Q99AU2
2haw,P37487
2hbl,Q12149
2hcj,P0CE47
2hej,Q91WR5
2hek,O67745
2hf9,Q57884
2hfk,Q9ZGI2
2hfn,P74295
2hg8,O15382
2hgs,P48637
2hhj,P07738
2hi4,P05177
2hj3,Q8GXX0
2hjp,Q84G06
2hjr,Q5CYZ3
2hk1,A9CH28
2hk9,O67049
2hlv,P07435
2hmq,P02246
2hmt,O32080
2hnk,Q8F8Y3
2hox,Q01594
2hps,C9V488
2hqm,P41921
2hqu,P33316
2hs1,Q7SSI0
2hs3,Q9X0X3
2htq,Q07599
2hu9,O29901
2huo,Q9QXN5
2hv7,Q15257
2hvh,Q45458
2hvw,Q8DSE5
2hw2,A0QRS5
2hxt,Q8P3K2
2hys,Q26241
2hzl,Q3J1R2
2hzq,P05090
2i0a,O38723
2i0d,O38731
2i0k,Q7SID9
2i1q,O73948
2i3g,P9WPZ9
2i4i,O00571
2i4o,Q6N5P6
2i4v,Q903J0
2i4w,O92139
2i5f,P08567
2i6u,P9WIT9
2i7c,Q8II73
2i7f,A2TC31
2i7n,Q8TE04
2i80,Q5HEB7
2i82,P0AA37
2i8t,Q6XQ58
2ibj,P49096
2ibn,Q9UGB7
2ibt,P14385
2iby,P24752
2ica,P20701
2ick,Q13907
2icy,Q9M9P3
2idv,P29557
2if8,P07250
2ig3,Q0PB48
2ihm,Q9JIW4
2iht,Q9LCV9
2ii3,P11181
2iiz,Q8EIU4
2ij2,P14779
2ikf,Q381M1
2il4,Q9CAQ2
2ilp,P0DPI1
2im0,P03300
2ima,Q84GJ4
2imf,Q51948
2imk,Q7PVS6
2imp,P25553
2ior,P0A6Z3
2ioy,Q8RD41
2iph,Q04544
2ipi,Q0PCD7
2iry,P9WNV3
2is6,P03018
2isa,Q3LSM1
2isk,Q92PC8
2isw,A8B2U2
2itf,Q2FZE9
2itm,P09099
2iu8,P0CD76
2iuf,D9N167
2iut,Q9I0M3
2iuw,Q96Q83
2iv3,Q93KV2
2ivd,P56601
2ivn,Q9UXT7
2iw1,P25740
2iw3,P16521
2iwc,P0A0B0
2iwx,P02829
2iwz,Q9NWU1
2ix0,P30850
2ix4,Q8L3X9
2ixa,A4Q8F7
2ixc,P9WH11
2ixf,P36370
2ixk,Q9HU21
2iy7,Q15KI8
2iy8,Q9CP67
2iya,Q3HTL7
2iyf,Q53685
2iyg,Q3J677
2iz1,P96789
2j07,P61497
2j0b,O09008
2j0p,P31517
2j0s,P38919
2j0v,O82480
2j0w,P08660
2j1g,Q15485
2j1p,Q43133
2j27,P04789
2j2m,A2A136
2j3l,Q831W7
2j41,Q5HGM3
2j4d,Q84KJ5
2j4j,Q97ZE2
2j5b,Q5UPJ7
2j5v,P0A7B5
2j6h,P17169
2j6l,P49419
2j78,Q08638
2j7t,O94804
2j8f,P15057
2j8w,P00142
2j8z,Q53FA7
2j90,O43293
2j96,P00309
2j9c,Q60381
2j9l,P51795
2jae,Q8VPD4
2jaf,B0R2U4
2jah,Q9LCV7
2jaq,Q93IG4
2jar,Q9JM14
2jbf,Q8DH45
2jbh,Q9NRG1
2jbv,Q7X2H8
2jc3,P29848
2jcb,A0A6L8PZ12
2jch,O70038
2jdc,Q65LG7
2je7,P81637
2jec,P08902
2jfn,P22634
2jfp,Q836J0
2jfq,Q6GHT5
2jfz,Q9ZLT0
2jg0,P13482
2jg1,P0A0B9
2jgb,O60573
2jhf,P00327
2jhl,O00602
2jhp,P07132
2jie,P22505
2jih,Q9UHI8
2jio,P81186
2jjn,P48635
2jjq,Q9UZR7
2jkb,Q54727
2jkh,P00742
2jko,Q00944
2jl1,Q2TNI4
2jlv,Q2YHF0
2kin,P56536
2lhb,P02208
2lig,P02941
2mas,Q27546
2mhr,P02247
2mjp,Q57679
2nad,P33160
2ngr,P60953
2nlr,Q54331
2nm3,P56740
2nnj,P10632
2nox,Q1LK00
2np9,Q8KLK7
2nrl,P68190
2nrm,P68189
2nst,P0C1A9
2ntk,O27099
2ntv,Q9CBM1
2nuu,P0AC55
2nuy,Q4JC35
2nv4,O29998
2nva,Q84527
2nvk,P91938
2nw8,Q8PDA8
2nwb,Q8E972
2nwf,Q02762
2nxe,Q84BQ9
2nxh,O66496
2nya,P33937
2nz2,P00966
2nz5,Q9KZF5
2nzt,P52789
2nzu,P46828
2nzx,O30511
2o07,P19623
2o0j,P17312
2o1c,P0AFC0
2o1s,P77488
2o2c,P13377
2o2y,Q9BH77
2o4c,Q9I3W9
2o6p,Q8KQR1
2o73,A1L259
2o7e,Q3IWB0
2o90,P0AC16
2o99,P16528
2oal,Q8KHZ8
2obd,P11597
2obe,Q8UY79
2obm,B7UMA6
2oci,Q86WA6
2ode,P08754
2oeg,Q4QDU3
2oem,Q5L1E2
2ofi,Q8Z2A5
2og7,Q9Z4Z5
2oga,Q9ZGH4
2oh5,O10693
2ohh,Q50497
2ohv,Q9A1B7
2oi2,A0A0H2UNK6
2oif,Q42831
2oiz,P84887
2ojw,P15104
2oke,P17374
2okg,O32253
2okj,Q99259
2okl,Q819K2
2oln,Q9X9P9
2olp,P41261
2om2,P63096
2onr,O30142
2ool,Q6N5G2
2oq2,P18408
2oq5,Q9UL52
2ort,P29477
2orw,Q9WYN2
2oua,Q6K1C5
2our,Q9Y233
2ovd,P07360
2ow4,P81364
2ow6,Q24451
2oxn,Q9KU37
2oyk,O33853
2oys,A0A0H2URW2
2oyy,Q5LL55
2oz5,P96830
2oze,Q57280
2ozy,P0ABL1
2p0d,Q9BRR9
2p1o,Q570C0
2p2v,Q9RGF1
2p39,Q9GZV9
2p3a,Q6BB74
2p3c,Q6Q004
2p41,Q9WLZ5
2p4s,A4Q998
2p4t,P00383
2p53,P0AF18
2p72,Q89399
2p8b,Q81IL5
2p8u,Q01581
2p9h,P03023
2pa7,Q6T1W8
2par,P76491
2pb2,P40732
2pd4,O24990
2pdr,Q9C3Y6
2per,O15247
2pfe,Q47SP5
2pfy,Q7VXB1
2pfz,Q7VXB3
2pg5,Q16696
2pgf,A5KE01
2pia,P33164
2pid,Q9Y2Z4
2piy,P09955
2pjl,P11474
2pk3,Q6T1X6
2pk5,Q9J2P7
2pk6,Q9Q2G8
2pl1,P23836
2pl3,Q13206
2plm,Q9X034
2pnc,Q29437
2pnz,Q9V119
2po3,Q9ZGH0
2poc,P53704
2pp1,Q8ZL58
2pqc,Q9R4E4
2pqm,O15570
2pr5,O34627
2ps1,P13298
2psv,O38707
2ptm,O76977
2ptr,P0AB89
2ptz,Q38BV6
2pu1,Q9NDH8
2puj,P47229
2pun,O31663
2puz,Q8U8Z6
2pv7,P43902
2pwd,Q2PS28
2pwy,Q8GBB2
2px8,P05769
2pxx,P0DPD7
2pyj,P03680
2pyw,Q9C6D2
2pz8,Q81RP3
2pze,P13569
2pzm,O87988
2q09,A0KF84
2q0l,P56431
2q0o,P55407
2q16,P52061
2q1a,Q97UA0
2q1s,O87989
2q1w,O87987
2q28,P0AFI0
2q2n,P32396
2q2t,O41026
2q2v,Q9AE70
2q32,P30519
2q37,Q9LVM5
2q3e,O60701
2q3r,Q8LAH7
2q46,Q94EG6
2q4w,Q9FUJ1
2q54,O38710
2q55,O38719
2q58,Q5CR09
2q5q,P51852
2q66,P29468
2q7a,Q06A48
2q7d,Q13572
2q7v,Q9RSY7
2q83,O34656
2q88,Q92WC8
2q8g,Q15118
2q8m,P0A993
2q8p,Q7A652
2q9u,Q86QZ1
2qa1,Q93LY7
2qbu,O27402
2qcx,P25052
2qdh,Q9U5N6
2qdx,Q9HYK7
2qe0,Q59931
2qeb,Q7PNF2
2qes,P84854
2qf7,Q2K340
2qfv,P21954
2qg6,Q9NWW6
2qgi,P05449
2qhs,Q5SLQ3
2qie,P65401
2qim,Q9LLQ2
2qio,A0A6L8PBX8
2qir,Q8GLI5
2qjn,A4XF23
2qjt,Q5NHR1
2qlu,Q13705
2qlx,Q7BSH1
2qm7,Q8RPA0
2qmc,O25743
2qno,P37698
2qpu,P00693
2qpy,P19091
2qpz,P0A185
2qrd,Q10343
2qrw,P9WN23
2qry,P31550
2qt6,Q5EBY5
2qtc,P0AFG8
2qtr,C3L5T6
2qtz,Q9UBK8
2qv6,Q57609
2qv7,Q6GFF9
2qve,Q8GMG0
2qx0,A0A5P8YCA3
2qxf,P04995
2qxi,P49862
2qxx,P9WP17
2qyk,P27815
2qz4,Q9UQ90
2qzs,P0A6U8
2qzt,Q0GY13
2qzy,P21642
2r0c,Q8KI25
2r0n,Q92947
2r14,Q51990
2r1n,Q93LD7
2r25,P39928
2r2f,P17424
2r3a,Q9H5I1
2r46,P13035
2r4b,Q15303
2r4f,P04035
2r5e,Q17CS8
2r5p,O12158
2r5t,O00141
2r5v,O52791
2r68,B8CZ51
2r6j,Q15GI4
2r75,O66809
2r79,O68879
2r7a,O70018
2r7k,Q57600
2r87,Q8U0R7
2r94,Q704D1
2r9f,P97571
2r9z,D0VWY5
2ra6,Q29147
2rbk,Q8A090
2rc5,Q8EY89
2rc8,Q9R1M7
2rcb,Q8VHN2
2rcn,Q8ZKB0
2rcu,P18886
2rde,A0A0H3ADR8
2rdq,Q82IZ1
2rdz,P0ABK9
2rfb,Q6KZ68
2rfm,Q978J0
2rgh,D0VWY7
2rgj,Q9HWG9
2rgm,Q75I93
2rgo,D0VWP7
2rhc,P16544
2rhl,P17865
2rhq,Q4L5E3
2ri1,Q8DV70
2ri9,P31723
2rie,P35247
2rif,Q8ZVX8
2rin,Q92N37
2rio,P32361
2rkf,Q90JJ9
2rkg,A0F6C5
2rkn,Q8W453
2rku,P53350
2rkv,O42692
2rl1,P45025
2rl8,P11456
2rnf,P34096
2sli,Q27701
2toh,P04177
2tpr,P39040
2uuq,P9WPN5
2uuu,O96759
2uv4,P54619
2uvf,O68975
2ux9,Q5SIE3
2uy5,P29029
2uyi,P52732
2uyq,Q9CCZ4
2uyt,Q1R415
2uyw,A7YYL1
2uzh,A0R559
2uzj,P0C0J0
2v03,P16703
2v0c,Q7SIE4
2v0i,P43889
2v0u,O49003
2v1o,Q91V12
2v1x,P46063
2v26,Q29122
2v2z,O67060
2v3a,Q9HTK9
2v3u,Q63226
2v54,P68693
2v57,Q58L87
2v5e,Q62997
2v6g,Q6PQJ9
2v6i,Q32ZD5
2v6k,O86043
2v77,P15085
2v7k,P95481
2v7o,Q13555
2v7p,Q5SJA1
2v7y,Q5KWZ7
2v82,Q6BF16
2v8h,Q96W94
2v8q,P80385
2v95,P31211
2vap,Q57816
2var,Q97U29
2vat,P39058
2vb8,P0A953
2vbf,Q6QBS4
2vbu,Q60365
2vch,Q9M156
2vck,Q58MU6
2vcn,Q43758
2vct,P09210
2vcv,Q16772
2vd8,A0A6L7HC45
2vdv,Q12009
2vdy,P08185
2ve3,Q59990
2vea,Q55168
2veb,Q8TLY9
2veg,P59655
2vez,Q4WCU5
2vf7,Q9RYW8
2vfr,Q9ZBU1
2vg0,P9WFF5
2vhd,P14532
2vhe,Q0P9D1
2vhl,O34450
2vhq,Q94M05
2vhw,P9WQB1
2vjm,O06644
2vjy,Q12629
2vk1,P06169
2vk2,P39325
2vk7,Q59310
2vkh,Q46342
2vmg,A0A0H2YQB3
2vmq,Q7SIB6
2vn1,Q8I4V8
2vnk,Q9L6V3
2vnv,B4EH87
2vo4,O49235
2vos,O53174
2vpn,E1VBK1
2vpq,A0A0H3JRR2
2vpr,P51561
2vq3,Q658P3
2vqd,P37798
2vqm,P56524
2vr4,Q8AAK6
2vrq,O69262
2vsu,O69762
2vt3,O05521
2vur,Q0TR53
2vv6,P23222
2vvg,A8BKD1
2vvm,P46882
2vvp,P9WKD7
2vwa,Q8IEU1
2vwd,Q9IH62
2vwi,O95747
2vwt,P76469
2vxh,E2DI02
2vxn,P48499
2vxo,P49915
2vyc,P28629
2vyt,Q9UQR0
2vzq,Q56F26
2vzw,P9WGK1
2vzz,P9WQG7
2w0m,Q97VZ8
2w15,P83512
2w1a,P9WIC1
2w22,Q59260
2w2i,B2RXH2
2w2t,P15153
2w31,Q747F6
2w39,Q874E3
2w3g,P9WGK3
2w41,Q8IDI4
2w47,A3DK57
2w58,Q5KWD0
2w5t,Q7A1I3
2w87,Q51815
2w8r,P51649
2w8t,Q93UV0
2w8z,I3NI58
2w92,Q93HW0
2w9s,P13955
2wa2,Q8QL64
2wat,P19097
2wba,P39051
2wbq,Q6WZB0
2wc1,P52967
2wc5,P34170
2wda,O86516
2wde,Q72IT0
2wds,O86785
2we5,P0A2X7
2wei,A3FQ16
2wel,Q13557
2wet,A4D0H5
2wg9,Q9XG81
2wgr,Q00277
2wic,A6TF32
2wie,A5HEI4
2wiy,Q8GPH7
2wji,Q57986
2wk0,P00808
2wk1,Q9L9F2
2wk9,Q9KM65
2wkw,Q7SIA5
2wl9,Q6REQ5
2wlg,Q93S40
2wlz,P07254
2wmc,Q0GRC4
2wme,Q9HTJ1
2wn6,Q9KH42
2wn9,Q8WSF8
2wnb,Q02745
2woe,P14300
2woj,Q12154
2wor,P31151
2wpx,Q8KRB5
2wq5,P15445
2wqf,Q9CED0
2wqn,Q8TDX7
2wqp,Q7DDU0
2wr8,O58212
2wsb,C0KTJ6
2wsi,P38913
2wtg,P30627
2wtn,D2YW37
2wuu,D0AB09
2ww2,Q8A5N9
2ww4,P62615
2wwc,Q8DP07
2wxf,O35904
2wy4,Q0P842
2wya,P54868
2wyv,Q5SLI9
2wzb,P00558
2wzf,Q5ZVS2
2wzm,A0QV09
2wzs,Q8A0N1
2wzv,A0R6D0
2x06,Q58820
2x1e,P15802
2x1l,A0R3E2
2x2o,Q81G57
2x32,Q21LI5
2x3f,Q6GDK5
2x3j,Q93AT8
2x52,P10969
2x56,P17811
2x5d,Q9HV83
2x5o,P14900
2x65,Q9X0C3
2x71,P94458
2x77,Q4QEJ1
2x7j,P23970
2x8m,Q8DR52
2x9g,O76290
2x9o,Q02189
2xa2,O58762
2xad,Q6ZZJ1
2xau,P53131
2xbk,Q9EW92
2xbu,Q04178
2xcf,C1KHN2
2xcm,Q7XJ80
2xcu,O66663
2xcw,P49902
2xdo,Q93L51
2xem,Q84HI7
